グループ,地名,センター,燃えるごみ,燃えないごみ,資源
A,本通り上,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,本通り下,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,新通,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,初咲町,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,日之出町１,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,緑ヶ丘,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,柳町,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
B,白岩下,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250407 20250421 20250505 20250519 20250602 20250616 20250630 20250714 20250728 20250811 20250825 20250908 20250922 20251006 20251020 20251103 20251117 20251201 20251215 20260105 20260119 20260202 20260216 20260302 20260316 20260330
B,白岩段,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20240401 20240415 20240429 20240513 20240527 20240610 20240624 20240708 20240722 20240805 20240819 20240902 20240916 20240930 20241014 20241028 20241111 20241125 20241209 20241223 20250113 20250127 20250210 20250224 20250310 20250324
B,西袋,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20240401 20240415 20240429 20240513 20240527 20240610 20240624 20240708 20240722 20240805 20240819 20240902 20240916 20240930 20241014 20241028 20241111 20241125 20241209 20241223 20250113 20250127 20250210 20250224 20250310 20250324
B,三軒家,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20240401 20240415 20240429 20240513 20240527 20240610 20240624 20240708 20240722 20240805 20240819 20240902 20240916 20240930 20241014 20241028 20241111 20241125 20241209 20241223 20250113 20250127 20250210 20250224 20250310 20250324
B,小川端,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20240401 20240415 20240429 20240513 20240527 20240610 20240624 20240708 20240722 20240805 20240819 20240902 20240916 20240930 20241014 20241028 20241111 20241125 20241209 20241223 20250113 20250127 20250210 20250224 20250310 20250324
B,長池,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20240401 20240415 20240429 20240513 20240527 20240610 20240624 20240708 20240722 20240805 20240819 20240902 20240916 20240930 20241014 20241028 20241111 20241125 20241209 20241223 20250113 20250127 20250210 20250224 20250310 20250324
B,白岩東,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20240401 20240415 20240429 20240513 20240527 20240610 20240624 20240708 20240722 20240805 20240819 20240902 20240916 20240930 20241014 20241028 20241111 20241125 20241209 20241223 20250113 20250127 20250210 20250224 20250310 20250324
B,御門,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20240401 20240415 20240429 20240513 20240527 20240610 20240624 20240708 20240722 20240805 20240819 20240902 20240916 20240930 20241014 20241028 20241111 20241125 20241209 20241223 20250113 20250127 20250210 20250224 20250310 20250324
B,月岡,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20240401 20240415 20240429 20240513 20240527 20240610 20240624 20240708 20240722 20240805 20240819 20240902 20240916 20240930 20241014 20241028 20241111 20241125 20241209 20241223 20250113 20250127 20250210 20250224 20250310 20250324
C,東平尾,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,西平尾,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,稲荷部,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,高田,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,段平尾,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,平尾,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,森,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,杉森,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,政所,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,奥横地,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,段横地,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,川島,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,西横地,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,土橋,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,奈良野,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,三沢,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,星ヶ丘,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
C,横地雇用促進,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250402 20250416 20250430 20250514 20250528 20250611 20250625 20250709 20250723 20250806 20250820 20250903 2025091720251001 20251015 20251029 20251112 20251126 20251210 20251224 20260114 20260128 20260211 20260225 20260311 20260325
D,五丁目上,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,五丁目下,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,打上,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,島,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,下本所,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,下半済,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,小出,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,神尾上,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,神尾下,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,牛渕上,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,牛渕下,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,牧之原上,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
D,牧之原下,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251003 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250408 20250422 20250506 20250520 20250603 20250617 20250701 20250715 20250729 20250812 20250826 20250909 20250923 20251007 20251021 20251104 20251118 20251202 20251216 20260106 20260120 20260203 20260217 20260303 20260317 20260331
E,日之出町2,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251009 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250411 20250425 20250509 20250523 20250606 20250620 20250704 20250718 20250801 20250815 20250829 20250912 20250926 20251010 20251024 20251107 20251121 20251205 20251219 20260109 20260123 20260206 20260220 20260306 20260320
E,上本所上,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251009 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250411 20250425 20250509 20250523 20250606 20250620 20250704 20250718 20250801 20250815 20250829 20250912 20250926 20251010 20251024 20251107 20251121 20251205 20251219 20260109 20260123 20260206 20260220 20260306 20260320
E,上本所下,環境資源ギャラリー ,月 木,20250404 20250418 20250502 20250516 20250530 20250613 20250627 20250711 20250725 20250808 20250822 20250905 20250919 20251009 20251017 20251031 20251114 20251128 20251212 20251226 20260116 20260130 20260213 20260227 20260313 20260327,20250411 20250425 20250509 20250523 20250606 20250620 20250704 20250718 20250801 20250815 20250829 20250912 20250926 20251010 20251024 20251107 20251121 20251205 20251219 20260109 20260123 20260206 20260220 20260306 20260320
